Chromosome,Gene,Number
CHR2-1,GIMAP_4,1
CHR2-2,GIMAP_7,0
CHR2-3,GIMAP_8,2
CHR4-1,GIMAP_4,5
CHR4-2,GIMAP_7,0
CHR4-3,GIMAP_8,0
CHR5-1,GIMAP_4,1
CHR5-2,GIMAP_7,0
CHR5-3,GIMAP_8,0
CHR6-1,GIMAP_4,1
CHR6-2,GIMAP_7,0
CHR6-3,GIMAP_8,0
CHR7-1,GIMAP_4,10
CHR7-2,GIMAP_7,0
CHR7-3,GIMAP_8,0
CHR8-1,GIMAP_4,18
CHR8-2,GIMAP_7,7
CHR8-3,GIMAP_8,0
CHR9-1,GIMAP_4,6
CHR9-2,GIMAP_7,2
CHR9-3,GIMAP_8,0
